                  dc  |              bankid  |                                        dc bank ID  | 1300   |                  Di  
                  dc  |              sector  |                                      sector index  |    1   |                  Di  
                  dc  |          superlayer  |                                  superlayer index  |    2   |                  Di  
                  dc  |               layer  |                                       layer index  |    3   |                  Di  
                  dc  |                wire  |                                        wire index  |    4   |                  Di  
                  dc  |                  LR  |Left/Right: -1 (right) if the track is between the beam and the closest wire  |    5   |                  Di  
                  dc  |                doca  |2D distance between closest track step to the wire hit  |    6   |                  Dd  
                  dc  |               sdoca  |                                      smeared doca  |    7   |                  Dd  
                  dc  |                time  |doca / drift velocity in each region 53, 26, 36 um/ns  |    8   |                  Dd  
                  dc  |               stime  |             sdoca / drift velocity in each region  |    9   |                  Dd  
                  dc  |                hitn  |                                        hit number  |   99   |                  Di  
